Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Dover,17.1875,0.0,13.636363636363637,1.5151515151515151,48.869594,-53.96888,18.607954545454504,0.0
Indian Bay,25.0,0.0,17.647058823529413,0.0,49.042705,-53.876604,27.94117647058829,0.0
Lumsden,22.0,2.0,20.37037037037037,1.8518518518518516,49.298721,-53.610616,22.651851851851802,2.0592592592592567
Musgrave Harbour,23.232323232323232,2.0202020202020203,18.69158878504673,1.8691588785046729,49.447575,-53.961575,25.048617011234,2.0806192768809595
Carmanville,26.027397260273972,0.0,16.666666666666664,1.3888888888888888,49.406651,-54.292778,29.771689497717034,0.0
Change Islands,38.095238095238095,0.0,24.0,0.0,49.673073,-54.410653,43.733333333333576,0.0
Crow Head,29.411764705882355,0.0,21.052631578947366,5.263157894736842,52.89,-60.511,32.7554179566564,0.0
Cottlesville,21.428571428571427,0.0,18.51851851851852,0.0,49.510696,-54.865479,22.59259259259261,0.0
Summerford,23.91304347826087,2.1739130434782608,18.823529411764707,1.1764705882352942,49.490072,-54.80775,25.948849104858937,2.5728900255754183
Twillingate,28.169014084507044,1.8779342723004695,24.545454545454547,2.272727272727273,49.648304,-54.763934,29.6184379001279,1.7200170721297354
Campbellton,26.08695652173913,2.1739130434782608,18.867924528301888,0.0,49.292953,-54.935334,28.97456931911438,3.043478260869506
Birchy Bay,22.22222222222222,1.8518518518518516,14.545454545454543,0.0,49.355022,-54.729763,25.29292929292933,2.592592592592723
Comfort Cove-Newstead,25.64102564102564,0.0,20.930232558139537,0.0,49.40158,-54.859386,27.525342874180296,0.0
Baytona,28.000000000000004,4.0,16.0,0.0,49.342055,-54.764962,32.80000000000018,5.599999999999909
Embree,25.0,2.857142857142857,19.424460431654676,1.4388489208633095,49.313003,-55.030783,27.23021582733827,3.424460431654552
Lewisporte,31.818181818181817,4.105571847507331,26.82926829268293,3.5868005738880915,49.244793,-55.057158,33.81374722838132,4.313080356955027
Little Burnt Bay,22.22222222222222,0.0,17.857142857142858,0.0,49.337069,-55.0752,23.968253968254203,0.0
Point of Bay,26.666666666666668,0.0,25.0,0.0,49.295709,-55.261807,27.33333333333337,0.0
Leading Tickles,27.58620689655172,0.0,20.588235294117645,2.941176470588235,49.505027,-55.453138,30.38539553752571,0.0
Point Leamington,29.66101694915254,2.5423728813559325,22.58064516129032,2.4193548387096775,49.336947,-55.399181,32.49316566429752,2.5915800984144397
Pilley's Island,20.689655172413794,0.0,9.67741935483871,0.0,49.506915,-55.731502,25.09454949944393,0.0
Triton,17.766497461928935,0.0,12.5,0.5,49.513793,-55.618698,19.8730964467004,0.0
Brighton,10.526315789473683,0.0,11.76470588235294,0.0,49.535892,-55.653406,10.030959752321962,0.0
Lushes Bight-Beaumont-Beaumont North,35.294117647058826,2.941176470588235,27.27272727272727,2.272727272727273,49.512189,-55.622047,38.502673796791896,3.208556149732658
South Brook,27.083333333333332,0.0,20.40816326530612,0.0,49.534086,-56.191577,29.753401360544103,0.0
Robert's Arm,25.0,2.5,23.17073170731707,1.2195121951219512,49.485345,-55.812693,25.731707317073187,3.012195121951322
Springdale,28.05755395683453,3.956834532374101,21.771217712177123,2.5830258302583027,49.534086,-56.191577,30.572088454697678,4.506358013220506
Port Anson,23.076923076923077,0.0,29.411764705882355,0.0,49.535547,-55.837691,20.542986425339222,0.0
Little Bay,33.33333333333333,0.0,22.22222222222222,0.0,52.89,-60.511,37.777777777777374,0.0
Beachside,37.03703703703704,0.0,26.666666666666668,0.0,52.89,-60.511,41.18518518518522,0.0
King's Point,20.0,1.5384615384615383,16.923076923076923,0.0,49.534086,-56.191577,21.230769230769283,2.153846153846075
Nippers Harbour,11.11111111111111,0.0,15.384615384615383,0.0,49.78615,-55.862095,9.401709401709468,0.0
Burlington,21.875,0.0,16.666666666666664,2.7777777777777777,49.751856,-56.026532,23.958333333333485,0.0
Middle Arm,16.666666666666664,0.0,10.416666666666668,0.0,49.704277,-56.089503,19.166666666666515,0.0
Fleur de Lys,32.0,0.0,26.923076923076923,3.8461538461538463,50.122322,-56.130061,34.03076923076924,0.0
